track_no,title,performed_by,genre_a,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster,cluster_no
206,WAP,Cardi B,4,pop,0.934,0.443,1,-7.541,1,0.41,0.0272,0,0.0889,0.359,133.026,audio_features,051wt8AyLFgYnVuberd3vO,spotify:track:051wt8AyLFgYnVuberd3vO,https://api.spotify.com/v1/tracks/051wt8AyLFgYnVuberd3vO,https://api.spotify.com/v1/audio-analysis/051wt8AyLFgYnVuberd3vO,187541,4,k,10
207,Dynamite,BTS ,4,pop,0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,audio_features,0v1x6rN6JHRapa03JElljE,spotify:track:0v1x6rN6JHRapa03JElljE,https://api.spotify.com/v1/tracks/0v1x6rN6JHRapa03JElljE,https://api.spotify.com/v1/audio-analysis/0v1x6rN6JHRapa03JElljE,199054,4,l,11
208,Alive,Alok,4,pop,0.66,0.855,9,-4.559,1,0.0317,0.0171,8.25E-05,0.374,0.616,126.035,audio_features,4zzHe0vVVQwLwn1mAoKFJq,spotify:track:4zzHe0vVVQwLwn1mAoKFJq,https://api.spotify.com/v1/tracks/4zzHe0vVVQwLwn1mAoKFJq,https://api.spotify.com/v1/audio-analysis/4zzHe0vVVQwLwn1mAoKFJq,142500,4,i,8
209,Met him last night,"Demi Lovato, Ariana Grande",4,pop,0.538,0.512,4,-4.548,0,0.0262,0.22,0,0.101,0.12,144.978,audio_features,0BI0hfbmqybnd3TezrDME3,spotify:track:0BI0hfbmqybnd3TezrDME3,https://api.spotify.com/v1/tracks/0BI0hfbmqybnd3TezrDME3,https://api.spotify.com/v1/audio-analysis/0BI0hfbmqybnd3TezrDME3,204632,4,i,8
210,Rainha da favela,Ludmilla,4,pop,0.867,0.67,0,-3.839,0,0.0438,0.23,0.00468,0.0889,0.891,135.064,audio_features,3vu864xi5Xis9VfOsJpmXu,spotify:track:3vu864xi5Xis9VfOsJpmXu,https://api.spotify.com/v1/tracks/3vu864xi5Xis9VfOsJpmXu,https://api.spotify.com/v1/audio-analysis/3vu864xi5Xis9VfOsJpmXu,160905,4,l,11
211,Streets,Doja Cat,4,pop,0.749,0.463,11,-8.433,1,0.0828,0.208,0.0371,0.337,0.19,90.028,audio_features,60ynsPSSKe6O3sfwRnIBRf,spotify:track:60ynsPSSKe6O3sfwRnIBRf,https://api.spotify.com/v1/tracks/60ynsPSSKe6O3sfwRnIBRf,https://api.spotify.com/v1/audio-analysis/60ynsPSSKe6O3sfwRnIBRf,226987,4,q,16
212,Therefore i am,Billie Eilish,4,pop,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,audio_features,54bFM56PmE4YLRnqpW6Tha,spotify:track:54bFM56PmE4YLRnqpW6Tha,https://api.spotify.com/v1/tracks/54bFM56PmE4YLRnqpW6Tha,https://api.spotify.com/v1/audio-analysis/54bFM56PmE4YLRnqpW6Tha,174321,4,d,3
213,Leave the door open,Bruno Mars ..,4,pop,0.586,0.616,5,-7.964,1,0.0324,0.182,0,0.0927,0.719,148.088,audio_features,7MAibcTli4IisCtbHKrGMh,spotify:track:7MAibcTli4IisCtbHKrGMh,https://api.spotify.com/v1/tracks/7MAibcTli4IisCtbHKrGMh,https://api.spotify.com/v1/audio-analysis/7MAibcTli4IisCtbHKrGMh,242096,4,r,18
214,Don't start now,Dua Lipa,4,pop,0.793,0.793,11,-4.521,0,0.083,0.0123,0,0.0951,0.679,123.95,audio_features,3PfIrDoz19wz7qK7tYeu62,spotify:track:3PfIrDoz19wz7qK7tYeu62,https://api.spotify.com/v1/tracks/3PfIrDoz19wz7qK7tYeu62,https://api.spotify.com/v1/audio-analysis/3PfIrDoz19wz7qK7tYeu62,183290,4,l,11
215,"Amarelo, azul e branco","Anavitória, Rita Lee",4,pop,0.589,0.542,6,-8.359,0,0.0746,0.125,3.31E-05,0.0883,0.327,100.884,audio_features,2LOIoeI16A8jjKubPKoCSa,spotify:track:2LOIoeI16A8jjKubPKoCSa,https://api.spotify.com/v1/tracks/2LOIoeI16A8jjKubPKoCSa,https://api.spotify.com/v1/audio-analysis/2LOIoeI16A8jjKubPKoCSa,201453,4,r,18
216,Fala mal de mim,Pedro Sampaio,4,pop,0.695,0.805,8,-4.351,1,0.0959,0.333,0,0.0794,0.673,165.036,audio_features,5glMxRMRHGBRj6bydBjoPM,spotify:track:5glMxRMRHGBRj6bydBjoPM,https://api.spotify.com/v1/tracks/5glMxRMRHGBRj6bydBjoPM,https://api.spotify.com/v1/audio-analysis/5glMxRMRHGBRj6bydBjoPM,154182,4,l,11
217,Tipo gin,Mc Kevin o Chirs,4,pop,0.75,0.668,0,-4.49,0,0.061,0.78,3.13E-06,0.338,0.786,94.998,audio_features,4llr8mcoauwrHBtjGb7F9S,spotify:track:4llr8mcoauwrHBtjGb7F9S,https://api.spotify.com/v1/tracks/4llr8mcoauwrHBtjGb7F9S,https://api.spotify.com/v1/audio-analysis/4llr8mcoauwrHBtjGb7F9S,159147,4,a,0
218,Tusa,"Karol G, Nicki Minaj",4,pop,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,audio_features,7k4t7uLgtOxPwTpFmtJNTY,spotify:track:7k4t7uLgtOxPwTpFmtJNTY,https://api.spotify.com/v1/tracks/7k4t7uLgtOxPwTpFmtJNTY,https://api.spotify.com/v1/audio-analysis/7k4t7uLgtOxPwTpFmtJNTY,200960,4,k,10
219,Preta do cabelo cacheado,"TH CDM, Batidao Stronda",4,pop,0.848,0.502,1,-6.472,0,0.238,0.679,0,0.0565,0.816,159.902,audio_features,73x4PDzlTdJkAa8GtjnUs0,spotify:track:73x4PDzlTdJkAa8GtjnUs0,https://api.spotify.com/v1/tracks/73x4PDzlTdJkAa8GtjnUs0,https://api.spotify.com/v1/audio-analysis/73x4PDzlTdJkAa8GtjnUs0,158531,4,f,5
220,Liberdade ,"Alok, Mc Don Juan",4,pop,0.81,0.789,6,-4.032,1,0.0498,0.0254,1.85E-06,0.104,0.432,129.988,audio_features,2QLbRVzixE282JSQjBz2DG,spotify:track:2QLbRVzixE282JSQjBz2DG,https://api.spotify.com/v1/tracks/2QLbRVzixE282JSQjBz2DG,https://api.spotify.com/v1/audio-analysis/2QLbRVzixE282JSQjBz2DG,150462,4,i,8
221,The Business,Tiesto,4,pop,0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031,audio_features,6f3Slt0GbA2bPZlz0aIFXN,spotify:track:6f3Slt0GbA2bPZlz0aIFXN,https://api.spotify.com/v1/tracks/6f3Slt0GbA2bPZlz0aIFXN,https://api.spotify.com/v1/audio-analysis/6f3Slt0GbA2bPZlz0aIFXN,164000,4,q,16
